Año,Forma de Medición,Valor
2015,Porcentaje,19.696348395
2014,Porcentaje,20.419374339
2013,Porcentaje,19.585446032
2012,Porcentaje,21.534015936
2011,Porcentaje,21.246664158
2010,Porcentaje,23.455152314
2009,Porcentaje,23.554775965
2008,Porcentaje,23.427926667
2007,Porcentaje,23.266640355
2006,Porcentaje,23.373758112
2005,Porcentaje,26.717310413
2004,Porcentaje,29.637897930
2003,Porcentaje,30.495309690
2002,Porcentaje,31.205481655
2001,Porcentaje,27.834979655
2000,Porcentaje,30.079205261
1999,Porcentaje,29.258467177
