Año,Forma de Medición,Valor
2012,Porcentaje ,7.1
2011,Porcentaje ,8.5
2010,Porcentaje ,8.6
2009,Porcentaje ,8.8
2008,Porcentaje ,9.2
2007,Porcentaje ,9.6
2006,Porcentaje ,11.1
2005,Porcentaje ,17.8
2004,Porcentaje ,22.5
2003,Porcentaje ,29.8
2002,Porcentaje ,25
2001,Porcentaje ,16.9
2000,Porcentaje ,18
1999,Porcentaje ,20.1
1998,Porcentaje ,20.3
1997,Porcentaje ,23.4
1996,Porcentaje ,42.5
1995,Porcentaje ,31.9
1994,Porcentaje ,39
1993,Porcentaje ,24
1992,Porcentaje ,19.6
1991,Porcentaje ,23.8
1990,Porcentaje ,24
